URL,Title,Sentiment Score,Sentiment Label,Sadness,Joy,Fear,Disgust,Anger
1,Pentagon: ISIS 'military emir' killed in airstrike,0,neutral,0.390286,0.007522,0.346168,0.299317,0.272936
1,Scrutinized TSA official resigns from agency,-0.306263,negative,0.093304,0.109703,0.280969,0.166744,0.378707
1,Nancy Pelosi says she would have retired if Hillary Clinton won,-0.545006,negative,0.352211,0.389707,0.058589,0.067966,0.14456
1,Europe tries to sway Trump administration views,0,neutral,0.372974,0.151793,0.103099,0.252571,0.070588
1,Kellyanne Conway's husband expected to be named for DOJ role,0,neutral,0.178724,0.030575,0.047146,0.156769,0.123608
1,"Graham, McCain want answers on Sessions-Russia report",0,neutral,0.154069,0.099806,0.086154,0.152413,0.125629
1,"Muslims in Congress, Democrats blast new Trump travel ban: 'Muslim Ban 2.0'",0,neutral,0.180264,0.045398,0.01988,0.533447,0.525305
1,Jeff Sessions says he didn't mislead Congress in testimony,-0.367959,negative,0.391892,0.181556,0.128824,0.068178,0.171486
1,How a former tattoo parlor is helping fight ISIS,0,neutral,0.274891,0.156975,0.195263,0.217921,0.186703
1,House Freedom Caucus still believes it can stop leadership's health care bill,0,neutral,0.142426,0.559327,0.13205,0.022519,0.234018
1,Trump signs bill nixing Obama-era guns rule,0,neutral,0.215899,0.060254,0.134461,0.291706,0.282361
1,Trump derides intel briefing on 'so-called' Russian hacking,0,neutral,0.265255,0.044373,0.649752,0.157276,0.126047
1,Ivanka Trump went to a play with Justin Trudeau,0,neutral,0.259066,0.24149,0.096571,0.152488,0.130436
1,CNN/ORC poll: Americans break with Trump on immigration policy,0,neutral,0.375606,0.016288,0.075,0.351833,0.099209
1,Spicer attacks 'double standard' in response to WikiLeaks dump,-0.60048,negative,0.499902,0.011341,0.21154,0.183099,0.332451
1,John Kerry: Nobody can predict Trump administration's choices,0,neutral,0.210686,0.327629,0.059834,0.139308,0.072927
1,Donald Trump throws curveball at Republicans on immigration,-0.550647,negative,0.155563,0.011664,0.027947,0.718461,0.359552
1,DOJ: 2 Russian spies indicted in Yahoo hack,-0.324086,negative,0.206563,0.043133,0.763921,0.080785,0.087527
1,US forces get ever closer to danger in Mosul,-0.544093,negative,0.313403,0.015874,0.65598,0.153698,0.209887
1,Kremlin spokesman: 'Russia is being demonized',0,neutral,0.200332,0.143382,0.089199,0.128579,0.044107
1,Democrats cede the airwaves in Gorsuch fight,-0.356429,negative,0.311593,0.009364,0.10007,0.437818,0.427688
1,Hundreds flock to Susan B. Anthony's grave on Election Day,-0.319332,negative,0.613563,0.034583,0.138866,0.092192,0.276407
1,Al Qaeda leader mocks Trump after Yemen raid,-0.623855,negative,0.084318,0.117414,0.3093,0.445157,0.111035
1,"Despite big talk, Trump makes modest border wall ask",0.800051,positive,0.342868,0.343327,0.117479,0.123499,0.220501
1,The 'three-bucket' strategy on health care that not everyone can believe in,0,neutral,0.12736,0.582836,0.023924,0.02691,0.082518
1,Banditos singer on resistance and patriotism in the age of Trump,0,neutral,0.51793,0.123738,0.055361,0.087145,0.10662
1,"Trump protesters smash door, break through barriers",-0.29501,negative,0.48979,0.021623,0.127249,0.107585,0.531511
1,Republicans add to Obamacare confusion with 'repair' pitch,-0.670909,negative,0.078327,0.038347,0.080395,0.671594,0.284953
1,US launches second round of airstrikes in Yemen,-0.497649,negative,0.348713,0.43234,0.057623,0.059127,0.016401
1,Ellison on travel ban: 'Just because it's legal doesn't make it right',-0.676,negative,0.125025,0.199424,0.038159,0.227444,0.456632
